gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2596176097	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/41188817	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		AR		Misiones			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-25.655	-54.548							2018-10-22T09:21:00Z	22	10	2018	2487653	2487653	HUMAN_OBSERVATION	iNaturalist	Observations	41188817			2020-04-01T21:00:04Z	CC_BY_NC_4_0	Pablo H Capovilla	Pablo H Capovilla			2020-04-07T15:17:52.543Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
2579263436	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/39835656	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		PE		Madre de Dios			28eb1a3f-1c15-4a95-931a-4af90ecb574d	-12.532237	-69.049519	1001.0						2020-03-06T06:17:15Z	6	3	2020	2487653	2487653	HUMAN_OBSERVATION	iNaturalist	Observations	39835656			2020-03-11T18:12:14Z	CC_BY_NC_4_0	mpederson	mpederson			2020-04-07T15:14:34.188Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2565049435	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0003803	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		BR	FlorestaEstadualdoAntimary,Limoeiro	Acre			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2006-07-04T00:00:00Z	4	7	2006	2487653	2487653	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0003803				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Guilherme, E.; Brígida, M.S.			2020-02-12T18:18:13.556Z		
2565049425	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0003816	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		BR	FlorestaEstadualdoAntimary,Limoeiro	Acre			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2006-07-08T00:00:00Z	8	7	2006	2487653	2487653	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0003816				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Guilherme, E.; Brígida, M.S.			2020-02-12T18:18:13.555Z		
2565048397	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0003664	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		BR	FlorestaEstadualdoAntimary,Limoeiro	Acre			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2006-07-08T00:00:00Z	8	7	2006	2487653	2487653	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0003664				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Guilherme, E.; Brígida, M.S.			2020-02-12T18:18:13.491Z		
2565048074	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0003649	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		BR	RamalNaborJúnior,km26	Acre			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2006-06-06T00:00:00Z	6	6	2006	2487653	2487653	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0003649				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Guilherme, E.; Brígida, M.S.			2020-02-12T18:18:13.460Z		
2565047059	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0016736	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		BR	PARNA da Serra do Pardo, Base 1	Pará			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2012-04-23T00:00:00Z	23	4	2012	2487653	2487653	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0016736				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Portes,  C.E.; Ferreira,  M.			2020-02-12T18:18:13.269Z		
2565046878	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0002121	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		BR	T.IndígenaParintintin,AldeiaPupunha	Amazonas			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2005-03-24T00:00:00Z	24	3	2005	2487653	2487653	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0002121				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Santos, M.P.D.; Silva, G.C.; Brígida, M.S.			2020-02-12T18:18:13.251Z		
2565046795	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0016727	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		BR	PARNA da Serra do Pardo, Sede do ICMBio	Pará			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2012-04-20T00:00:00Z	20	4	2012	2487653	2487653	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0016727				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Portes,  C.E.; Ferreira,  M.			2020-02-12T18:18:13.246Z		
2565046568	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0002143	Animalia	Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra fasciicauda		SPECIES	Pipra fasciicauda Hellmayr, 1906	Pipra fasciicauda		BR	T.IndígenaParintintin,AldeiaPupunha	Amazonas			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2005-03-23T00:00:00Z	23	3	2005	2487653	2487653	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0002143				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Santos, M.P.D.; Silva, G.C.; Brígida, M.S.			2020-02-12T18:18:13.230Z		
