gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2565046444	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0016854	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	PovoadoCovaDonga	Ceará			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2011-03-14T00:00:00Z	14	3	2011	2485028	2485028	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0016854				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Cerqueira,  P.V.			2020-02-12T18:18:13.221Z		
2565045845	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0004513	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Fazenda Tanguro	Mato Grosso			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2006-12-10T00:00:00Z	10	12	2006	2485028	2485028	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0004513				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Aleixo, A.; Poletto, F.			2020-02-12T18:18:13.176Z		
2565043500	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0015174	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Flona de Palmares	Piauí			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2010-10-22T00:00:00Z	22	10	2010	2485028	2485028	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0015174				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Santos,  M.P.D.			2020-02-12T18:18:12.973Z		
2565036200	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0009879	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Parque Nacional de Sete Cidades	Piauí			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2004-08-21T00:00:00Z	21	8	2004	2485028	2485028	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0009879				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Dantas,  M.P.			2020-02-12T18:18:12.462Z		
2565033823	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0019030	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Faz. Sapucaia - trilha marco da divisa	Tocantins			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2012-11-07T00:00:00Z	7	11	2012	2485028	2485028	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0019030				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Pinheiro, R.T.; Dornas, T.; Barros, L.V.; Dionísio, C.			2020-02-12T18:18:12.219Z		
2565033469	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0010723	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Mancha Verde (carreteiro)	Maranhão			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2007-05-01T00:00:00Z		5	2007	2485028	2485028	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0010723				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Dantas,  M.P.			2020-02-12T18:18:12.179Z		
2565029369	b84edffc-c606-47c7-813f-feed4f761e06	MPEG.TEO 0010073	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Faz.Bonito	Piauí			4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4									2007-03-16T00:00:00Z	16	3	2007	2485028	2485028	PRESERVED_SPECIMEN	MPEG		MPEG.TEO 0010073				CC_BY_NC_4_0	Museu Paraense Emílio Goeldi (MPEG)	Dantas,  M.P.			2020-02-12T18:18:11.466Z		
2534092583	b1047888-ae52-4179-9dd5-5448ea342a24	https://data.biodiversitydata.nl/xeno-canto/observation/XC504412	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BO	Laguna Volcanes, Santa Cruz				1f00d75c-f6fc-4224-a595-975e82d7689c	-18.1206	-63.6471							2019-09-23T00:00:00Z	23	9	2019	2485028	2485028	HUMAN_OBSERVATION		Bird sounds	XC504412				CC_BY_NC_4_0	Jacob Wijpkema	Jacob Wijpkema			2020-03-31T21:48:57.402Z	Sound;StillImage	
2534089710	b1047888-ae52-4179-9dd5-5448ea342a24	https://data.biodiversitydata.nl/xeno-canto/observation/XC503456	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata	whitii	SUBSPECIES	Synallaxis scutata whitii P.L.Sclater, 1881	Synallaxis scutata whitii		AR	Salta: Aguas Calientes, Reserva Nacional Pizarro				1f00d75c-f6fc-4224-a595-975e82d7689c	-24.242	-64.15							2019-10-19T00:00:00Z	19	10	2019	6171233	2485028	HUMAN_OBSERVATION		Bird sounds	XC503456				CC_BY_NC_4_0	Niels Krabbe	Niels Krabbe			2020-03-31T21:49:02.198Z	StillImage;Sound	
2534088331	b1047888-ae52-4179-9dd5-5448ea342a24	https://data.biodiversitydata.nl/xeno-canto/observation/XC288560	Animalia	Chordata	Aves	Passeriformes	Furnariidae	Synallaxis	Synallaxis scutata		SPECIES	Synallaxis scutata P.L.Sclater, 1859	Synallaxis scutata		BR	Rio Verde, Rio Verde, Goiás				1f00d75c-f6fc-4224-a595-975e82d7689c	-17.581	-51.1738							2014-08-02T00:00:00Z	2	8	2014	2485028	2485028	HUMAN_OBSERVATION		Bird sounds	XC288560				CC_BY_NC_4_0	Marcelo Villegas	Marcelo Villegas			2020-03-31T21:49:01.959Z	Sound;StillImage	
